,FreeNet_pre_score,FreeNet_post_score,FreeNet_pre_rank,FreeNet_post_rank,FreeNet_delta_ranks,Reversed_pre_score,Reversed_post_score,Reversed_pre_rank,Reversed_post_rank,Reversed_delta_ranks,Random_pre_score,Random_post_score,Random_pre_rank,Random_post_rank,Random_delta_ranks,dist_victim_relayer,out_deg_victim,in_deg_villain,victim,villain,relayer
0,218,218,971.5,971.5,0.0,84,84,969.0,969.0,0.0,0.0048674223084516155,0.0048674223084516155,955.0,955.0,0.0,-1,5,33,538,15,991
1,0,616,166.0,1000.0,834.0,0,17,166.0,892.0,726.0,0.0,0.006943735321147759,201.5,971.0,769.5,2,2,1,959,747,479
2,323,323,970.0,970.0,0.0,304,304,978.5,978.5,0.0,0.0035059055788147996,0.0035059055788147996,933.5,933.5,0.0,-1,17,33,63,15,520
3,270,372,969.0,980.0,11.0,188,188,972.5,972.5,0.0,0.005071649817897137,0.0051397256543789785,961.0,962.0,1.0,4,10,24,285,13,258
4,46,147,853.0,962.5,109.5,24,24,826.0,826.0,0.0,0.0016338200755641784,0.0016338200755641784,868.5,868.5,0.0,6,3,17,674,213,437
5,66,66,874.5,874.5,0.0,34,34,813.5,813.5,0.0,0.0007488342013002485,0.0007488342013002485,773.5,773.5,0.0,-1,4,20,475,189,502
6,0,0,166.0,166.0,0.0,0,0,166.0,166.0,0.0,0.0,0.0,209.0,209.0,0.0,-1,2,0,802,976,624
7,295,295,978.0,978.0,0.0,108,108,997.5,997.5,0.0,0.010824058000612683,0.010824058000612683,986.0,986.0,0.0,-1,5,44,457,27,876
8,0,101,166.5,921.5,755.0,0,5,166.5,344.5,178.0,0.0,0.0,206.0,206.0,0.0,6,5,0,551,982,590
9,0,0,166.5,166.5,0.0,0,0,166.5,166.5,0.0,0.0,0.0,198.0,198.0,0.0,-1,7,0,366,768,939
10,6,107,477.0,919.0,442.0,20,20,647.5,647.5,0.0,0.000442492937131965,0.000442492937131965,682.5,682.5,0.0,6,4,1,783,480,893
11,0,102,165.5,938.0,772.5,0,4,165.5,397.5,232.0,0.0,0.0002042275094455223,203.5,593.0,389.5,4,3,1,871,874,519
12,154,360,926.0,980.0,54.0,112,116,837.0,848.5,11.5,0.001940161339732462,0.0020763130126961434,883.0,892.0,9.0,3,11,20,66,109,659
