,FreeNet_pre_score,FreeNet_post_score,FreeNet_pre_rank,FreeNet_post_rank,FreeNet_delta_ranks,Reversed_pre_score,Reversed_post_score,Reversed_pre_rank,Reversed_post_rank,Reversed_delta_ranks,Independent_pre_score,Independent_post_score,Independent_pre_rank,Independent_post_rank,Independent_delta_ranks,Random_pre_score,Random_post_score,Random_pre_rank,Random_post_rank,Random_delta_ranks,dist_victim_relayer,out_deg_victim,in_deg_villain,victim,villain,relayer
0,62,164,55.0,85.5,30.5,92,92,51.5,51.5,0.0,62,65,55.0,57.0,2.0,0.003948398515946765,0.004186663943633207,51.0,52.0,1.0,4,8,3,30,54,63
1,28,644,50.0,100.0,50.0,78,118,47.5,66.0,18.5,28,118,50.0,79.5,29.5,0.001599782157323258,0.014398039415909322,43.0,77.0,34.0,2,8,3,30,43,19
2,16,632,35.0,100.0,65.0,43,84,30.5,37.5,7.0,16,34,35.0,43.0,8.0,0.0002382654276864427,0.0016338200755641784,31.0,42.0,11.0,2,14,1,25,60,61
3,2,208,29.5,94.0,64.5,8,18,29.0,31.5,2.5,2,9,29.5,36.0,6.5,0.00013615167296368154,0.0013274788113958951,30.0,40.0,10.0,3,5,1,45,65,61
4,108,209,85.0,96.0,11.0,56,56,95.0,95.0,0.0,56,56,95.0,95.0,0.0,0.021954457265393648,0.02219272269308009,88.0,88.0,0.0,5,2,9,99,39,88
5,88,88,61.5,61.5,0.0,174,174,78.0,78.0,0.0,88,88,61.5,61.5,0.0,0.007862759113652609,0.007862759113652609,63.0,63.0,0.0,-1,10,7,22,62,92
6,40,246,51.5,95.0,43.5,118,118,70.5,70.5,0.0,40,52,52.0,54.0,2.0,0.0053099152455835805,0.00704584907587052,54.0,58.5,4.5,3,9,1,35,90,83
7,0,0,13.0,13.0,0.0,0,0,13.0,13.0,0.0,0,0,13.0,13.0,0.0,0.0,0.0,14.0,14.0,0.0,-1,10,0,22,92,66
8,40,40,48.5,48.5,0.0,116,116,75.0,75.0,0.0,40,40,48.5,48.5,0.0,0.0032336022328874367,0.0032336022328874367,48.0,48.0,0.0,-1,7,1,46,53,67
9,0,1640,13.0,100.0,87.0,0,156,13.0,65.5,52.5,0,156,13.0,87.0,74.0,0.0,0.028728002995336805,14.0,89.0,75.0,1,12,0,6,84,7
10,16,632,39.5,100.0,60.5,66,66,49.0,49.0,0.0,16,66,39.5,58.0,18.5,0.0015317063208414173,0.011062323428299126,43.0,70.0,27.0,2,6,1,59,53,17
11,6,108,34.0,83.5,49.5,12,12,43.5,43.5,0.0,6,12,34.0,43.0,9.0,0.003369753905851118,0.005241839409101739,51.0,56.0,5.0,4,2,1,95,90,75
12,22,22,45.0,45.0,0.0,42,42,41.5,41.5,0.0,22,22,45.0,45.0,0.0,0.0007147962830593281,0.0007147962830593281,37.0,37.0,0.0,-1,6,2,69,63,91
13,86,702,63.5,100.0,36.5,82,82,58.5,58.5,0.0,86,82,66.5,65.5,-1.0,0.006399128629293032,0.015623404472582456,58.5,78.0,19.5,2,7,6,62,13,77
14,6,212,34.5,93.5,59.0,24,24,42.5,42.5,0.0,6,24,34.5,52.5,18.0,0.0031314884781646754,0.006671431975220395,51.0,60.0,9.0,3,4,1,78,90,47
15,2,208,27.0,91.0,64.0,13,32,28.0,32.0,4.0,2,15,27.0,34.0,7.0,0.0,0.0010892133837094523,13.5,39.0,25.5,3,10,1,1,68,64
16,56,56,63.5,63.5,0.0,48,48,72.0,72.0,0.0,48,48,72.5,72.5,0.0,0.005173763572619898,0.005173763572619898,60.0,60.0,0.0,-1,3,6,76,28,81
17,226,432,93.0,100.0,7.0,176,176,89.5,89.5,0.0,176,176,92.0,92.0,0.0,0.019980258007420267,0.02386058068688519,83.0,86.0,3.0,3,8,18,39,5,38
18,66,682,56.0,100.0,44.0,84,84,60.0,60.0,0.0,64,84,56.0,65.5,9.5,0.005854521937438306,0.009360427516253106,55.0,66.0,11.0,2,5,6,52,41,54
19,16,632,36.0,100.0,64.0,72,96,40.0,47.0,7.0,16,96,36.0,61.0,25.0,0.0010892133837094523,0.01606589740971442,38.0,78.0,40.0,2,10,1,11,71,15
20,334,950,95.0,100.0,5.0,208,208,98.0,98.0,0.0,208,208,98.0,98.0,0.0,0.02750263793866367,0.050274005241839406,88.0,97.0,9.0,2,7,19,24,15,10
21,22,638,47.0,100.0,53.0,28,38,47.0,57.5,10.5,22,38,47.0,59.5,12.5,0.002280540522141666,0.01855066544130161,49.0,83.0,34.0,2,3,2,66,52,30
22,0,0,12.5,12.5,0.0,0,0,12.5,12.5,0.0,0,0,12.5,12.5,0.0,0.0,0.0,14.0,14.0,0.0,-1,6,0,69,99,45
23,60,266,56.0,95.0,39.0,104,104,65.0,65.0,0.0,60,104,56.0,77.5,21.5,0.006058749446883829,0.01058579257292624,55.0,70.0,15.0,3,9,6,35,73,31
24,606,606,100.0,100.0,0.0,400,400,99.5,99.5,0.0,400,400,99.5,99.5,0.0,0.052554545763981074,0.052554545763981074,99.0,99.0,0.0,-1,13,36,13,2,40
25,138,138,85.0,85.0,0.0,134,134,88.5,88.5,0.0,134,134,89.0,89.0,0.0,0.013479015623404473,0.013479015623404473,73.5,73.5,0.0,-1,6,9,59,31,92
26,24,230,43.0,91.0,48.0,68,68,41.0,41.0,0.0,24,68,43.0,55.0,12.0,0.001599782157323258,0.008713707069675619,42.0,66.0,24.0,3,8,4,10,64,8
27,16,16,37.0,37.0,0.0,112,112,59.5,59.5,0.0,16,16,37.0,37.0,0.0,0.002995336805200994,0.002995336805200994,49.0,49.0,0.0,-1,12,2,14,94,96
28,252,868,92.0,100.0,8.0,168,168,96.5,96.5,0.0,168,168,96.5,96.5,0.0,0.02386058068688519,0.034820790360461554,86.0,91.0,5.0,2,6,16,41,12,37
29,84,290,62.5,93.0,30.5,80,80,62.0,62.0,0.0,80,80,66.0,66.0,0.0,0.012934408931549747,0.013853432724054596,75.0,77.0,2.0,3,5,9,61,39,42
30,2,618,29.0,100.0,71.0,6,28,30.0,46.5,16.5,2,28,29.0,52.5,23.5,0.0002042275094455223,0.0051397256543789785,32.5,55.0,22.5,2,3,1,87,4,47
