,FreeNet_pre_score,FreeNet_post_score,FreeNet_pre_rank,FreeNet_post_rank,FreeNet_delta_ranks,Reversed_pre_score,Reversed_post_score,Reversed_pre_rank,Reversed_post_rank,Reversed_delta_ranks,Random_pre_score,Random_post_score,Random_pre_rank,Random_post_rank,Random_delta_ranks,dist_victim_relayer,dist_victim_vilain_pre,dist_victim_vilain_post,out_deg_victim,in_deg_villain,victim,villain,relayer
0,0,102,1,938,937,0,6,1,428,427,0.0,6.807583648184077e-05,1,455,454,4,-1,5,3,0,835,713,741
1,18,120,716,956,240,8,8,523,523,0,0.00030634126416828345,0.0007488342013002485,643,779,136,4,4,4,2,7,906,170,296
2,52,668,821,996,175,60,74,785,852,67,0.0004765308553728854,0.0024507301133462676,692,903,211,2,3,3,8,8,454,132,163
3,31,133,774,943,169,40,40,791,791,0,0.00088498587426393,0.0010211375472276116,797,816,19,4,3,3,5,5,570,216,332
4,12,12,578,578,0,18,18,525,525,0,0.00017018959120460194,0.00017018959120460194,550,550,0,-1,4,4,5,4,478,346,971
5,2,104,361,927,566,5,6,390,424,34,0.0,0.0007488342013002485,1,766,765,4,5,5,3,1,337,265,166
6,122,224,948,979,31,38,38,903,903,0,0.0037441710065012424,0.003880322679464924,941,942,1,4,3,3,3,26,530,108,545
7,12,114,632,950,318,12,12,645,645,0,0.00013615167296368154,0.0002042275094455223,530,583,53,4,4,4,2,4,980,259,547
8,6,212,438,969,531,10,18,449,573,124,3.4037918240920386e-05,0.0031314884781646754,406,931,525,3,4,4,3,1,459,964,77
9,0,102,1,932,931,0,6,1,423,422,0.0,0.0002723033459273631,1,616,615,4,-1,5,3,0,745,890,211
10,0,101,1,913,912,0,4,1,331,330,0.0,6.807583648184077e-05,1,441,440,5,-1,6,4,0,614,981,311
11,6,107,508,962,454,14,14,748,748,0,0.00010211375472276115,0.0002042275094455223,468,573,105,5,4,4,3,3,877,410,631
12,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,23,0,57,426,962
13,85,291,857,973,116,142,142,898,898,0,0.001599782157323258,0.0018380475850097008,855,874,19,3,3,3,12,9,187,277,392
14,0,206,1,983,982,0,14,1,688,687,0.0,0.004629156880765172,1,952,951,3,-1,4,3,0,915,729,18
15,118,318,902,976,74,78,78,795,795,0,0.0023486163586235067,0.002382654276864427,902,903,1,3,3,3,8,19,483,72,110
16,197,397,961,986,25,110,110,972,972,0,0.005650294427992784,0.006739507811702236,961,968,7,3,2,2,6,31,489,34,94
17,88,294,847,971,124,124,124,792,792,0,0.0011913271384322134,0.0015657442390823377,829,858,29,3,3,3,14,11,198,166,262
18,6,212,457,974,517,13,17,477,551,74,3.4037918240920386e-05,0.0005105687736138058,402,713,311,3,4,4,5,3,435,321,377
