,FreeNet_pre_score,FreeNet_post_score,FreeNet_pre_rank,FreeNet_post_rank,FreeNet_delta_ranks,Reversed_pre_score,Reversed_post_score,Reversed_pre_rank,Reversed_post_rank,Reversed_delta_ranks,Random_pre_score,Random_post_score,Random_pre_rank,Random_post_rank,Random_delta_ranks,dist_victim_relayer,out_deg_victim,in_deg_villain,victim,villain,relayer
0,2,104,405.0,946.0,541.0,4,4,456.5,456.5,0.0,3.4037918240920386e-05,0.00030634126416828345,426.5,653.0,226.5,4,2,3,910,466,516
1,0,616,166.5,991.0,824.5,0,124,166.5,687.0,520.5,0.0,0.0022465026039007454,197.0,898.5,701.5,2,19,0,46,991,297
2,25,25,853.0,853.0,0.0,8,8,744.0,744.0,0.0,0.0009870996289866913,0.0009870996289866913,827.0,827.0,0.0,-1,2,13,944,120,900
3,0,206,166.5,957.0,790.5,0,19,166.5,435.5,269.0,0.0,0.0004765308553728854,200.5,697.5,497.0,3,8,1,131,814,284
4,249,249,968.0,968.0,0.0,118,118,950.0,950.0,0.0,0.0048674223084516155,0.0048674223084516155,955.5,955.5,0.0,-1,8,49,334,51,515
5,4,106,432.5,924.5,492.0,6,8,395.5,437.0,41.5,6.807583648184077e-05,0.00017018959120460194,470.0,565.5,95.5,4,4,3,593,534,659
6,6,6,536.0,536.0,0.0,10,10,604.0,604.0,0.0,6.807583648184077e-05,6.807583648184077e-05,469.0,469.0,0.0,-1,3,1,608,618,845
7,0,206,166.5,962.0,795.5,0,22,166.5,512.5,346.0,0.0,0.0006126825283365669,201.0,730.5,529.5,3,7,0,505,723,340
8,0,616,165.5,999.0,833.5,0,28,165.5,884.0,718.5,0.0,0.009224275843289425,202.0,981.0,779.0,2,3,1,856,568,23
9,48,150,814.5,941.0,126.5,40,40,765.0,765.0,0.0,0.0012594029749140542,0.0016678579938050988,839.0,863.0,24.0,4,5,9,396,130,389
10,22,124,701.5,939.0,237.5,44,44,883.5,883.5,0.0,0.0010211375472276116,0.0012253650566731338,811.5,832.0,20.5,4,4,4,740,143,524
11,96,302,915.5,983.0,67.5,50,50,900.0,900.0,0.0,0.002382654276864427,0.002586881786309949,901.5,908.0,6.5,3,5,18,663,141,168
12,2,104,406.0,935.0,529.0,6,6,476.0,476.0,0.0,3.4037918240920386e-05,0.00010211375472276115,432.5,508.5,76.0,4,3,1,823,531,241
13,16,222,599.0,965.0,366.0,54,54,730.5,730.5,0.0,0.0002042275094455223,0.0006807583648184077,572.5,743.5,171.0,3,8,1,308,655,195
14,2,618,374.0,992.0,618.0,17,92,362.5,653.0,290.5,0.0,0.0017018959120460194,198.0,868.5,670.5,2,15,1,32,437,85
15,30,30,696.5,696.5,0.0,70,70,633.5,633.5,0.0,0.0006807583648184077,0.0006807583648184077,737.5,737.5,0.0,-1,14,6,84,258,957
16,0,102,166.5,889.5,723.0,0,13,166.5,401.5,235.0,0.0,3.4037918240920386e-05,202.5,424.0,221.5,4,7,0,193,957,561
17,0,206,166.5,965.5,799.0,0,17,166.5,506.5,340.0,0.0,0.0005786446100956465,202.0,725.5,523.5,3,5,0,667,923,535
18,40,40,731.5,731.5,0.0,192,192,894.5,894.5,0.0,0.0006126825283365669,0.0006126825283365669,725.5,725.5,0.0,-1,17,6,6,490,975
19,17,119,645.0,932.0,287.0,34,34,775.0,775.0,0.0,0.0005446066918547262,0.0005786446100956465,724.0,732.0,8.0,4,4,2,762,101,653
20,0,206,166.0,976.0,810.0,0,8,166.0,572.5,406.5,0.0,0.0008169100377820892,202.0,785.5,583.5,3,2,0,816,961,172
21,106,722,920.0,998.5,78.5,48,48,927.0,927.0,0.0,0.0020082371762143027,0.009156200006807584,882.0,980.0,98.0,2,3,17,808,60,30
22,0,0,166.0,166.0,0.0,0,0,166.0,166.0,0.0,0.0,0.0,201.0,201.0,0.0,-1,5,0,533,936,520
23,0,102,166.5,881.5,715.0,0,20,166.5,379.0,212.5,0.0,6.807583648184077e-05,200.0,466.5,266.5,4,14,0,21,802,586
24,0,206,166.5,966.5,800.0,0,18,166.5,468.0,301.5,0.0,0.0006126825283365669,201.0,735.5,534.5,3,7,0,413,903,375
25,16,16,590.5,590.5,0.0,52,52,645.0,645.0,0.0,6.807583648184077e-05,6.807583648184077e-05,460.0,460.0,0.0,-1,9,1,367,689,732
26,101,307,900.0,977.0,77.0,94,94,906.5,906.5,0.0,0.002382654276864427,0.003165526396405596,894.5,923.0,28.5,3,8,17,270,180,438
27,3,105,461.0,944.5,483.5,3,4,401.0,466.5,65.5,3.4037918240920386e-05,0.000442492937131965,433.5,693.5,260.0,4,2,3,723,563,221
28,0,0,166.0,166.0,0.0,0,0,166.0,166.0,0.0,0.0,0.0,200.5,200.5,0.0,-1,8,0,428,664,698
29,0,0,166.5,166.5,0.0,0,0,166.5,166.5,0.0,0.0,0.0,202.0,202.0,0.0,-1,12,0,183,817,782
