,FreeNet_pre_score,FreeNet_post_score,FreeNet_pre_rank,FreeNet_post_rank,FreeNet_delta_ranks,Reversed_pre_score,Reversed_post_score,Reversed_pre_rank,Reversed_post_rank,Reversed_delta_ranks,Independent_pre_score,Independent_post_score,Independent_pre_rank,Independent_post_rank,Independent_delta_ranks,dist_victim_relayer,out_deg_victim,in_deg_villain,victim,villain,relayer
0,0,616,13.0,100.0,87.0,0,46,13.0,40.0,27.0,0,46,13.0,52.0,39.0,2,6,0,41,96,20
1,18,119,41.0,79.0,38.0,74,74,40.0,40.0,0.0,18,19,41.0,41.0,0.0,5,11,2,19,56,78
2,100,100,70.5,70.5,0.0,100,100,69.5,69.5,0.0,100,100,72.5,72.5,0.0,2,7,14,62,32,19
3,22,22,48.0,48.0,0.0,44,44,50.5,50.5,0.0,22,22,48.0,48.0,0.0,-1,4,2,79,52,96
4,0,101,13.0,81.0,68.0,0,4,13.0,26.5,13.5,0,1,13.0,26.5,13.5,5,4,0,77,76,65
5,136,238,86.0,95.0,9.0,70,70,65.0,65.0,0.0,70,70,70.5,70.5,0.0,4,5,16,45,12,71
6,71,277,57.0,96.0,39.0,108,108,61.5,61.5,0.0,71,79,57.0,58.0,1.0,3,9,6,28,35,75
7,0,206,13.0,94.0,81.0,0,8,13.0,35.5,22.5,0,6,13.0,34.5,21.5,3,2,0,90,85,46
8,0,616,13.0,100.0,87.0,0,36,13.0,34.0,21.0,0,22,13.0,43.0,30.0,2,7,0,24,84,52
9,40,656,49.5,99.0,49.5,156,186,66.0,71.0,5.0,40,92,50.0,58.0,8.0,2,12,1,6,53,25
10,184,384,95.0,100.0,5.0,96,96,95.0,95.0,0.0,96,96,95.0,95.0,0.0,3,3,16,94,18,47
11,118,734,77.0,100.0,23.0,284,294,82.0,84.0,2.0,118,294,77.0,95.0,18.0,2,16,5,9,25,18
12,42,42,58.0,58.0,0.0,22,22,55.0,55.0,0.0,22,22,57.5,57.5,0.0,-1,2,6,89,34,76
13,167,373,89.0,97.0,8.0,112,112,94.5,94.5,0.0,112,112,94.5,94.5,0.0,3,4,15,83,19,35
14,0,616,13.0,100.0,87.0,0,72,13.0,51.5,38.5,0,68,13.0,59.0,46.0,2,7,0,62,87,17
15,0,616,13.0,100.0,87.0,0,50,13.0,37.5,24.5,0,40,13.0,51.5,38.5,2,8,0,10,89,26
16,32,32,50.0,50.0,0.0,38,38,56.0,56.0,0.0,32,32,50.0,50.0,0.0,-1,3,3,96,29,80
17,32,238,49.5,95.0,45.5,24,24,43.0,43.0,0.0,32,24,55.5,48.5,-7.0,3,3,2,60,75,47
18,6,622,31.5,100.0,68.5,19,74,29.0,43.5,14.5,6,64,31.5,57.5,26.0,2,8,1,15,55,57
19,6,622,29.0,100.0,71.0,24,76,31.0,50.5,19.5,6,76,29.0,55.5,26.5,2,6,1,40,88,10
20,400,1016,97.0,100.0,3.0,288,288,95.5,95.5,0.0,288,288,95.5,95.5,0.0,2,12,27,3,10,1
21,0,616,13.0,100.0,87.0,0,62,13.0,43.0,30.0,0,62,13.0,57.0,44.0,2,7,0,24,97,16
22,2,2,30.0,30.0,0.0,5,5,30.5,30.5,0.0,2,2,30.0,30.0,0.0,-1,3,1,60,95,92
23,0,616,12.5,100.0,87.5,0,22,12.5,58.0,45.5,0,22,12.5,58.5,46.0,2,2,0,93,89,16
24,6,6,30.5,30.5,0.0,18,18,28.5,28.5,0.0,6,6,30.5,30.5,0.0,-1,8,1,27,95,67
25,44,250,57.5,95.5,38.0,38,38,57.5,57.5,0.0,38,38,59.5,59.5,0.0,3,3,4,58,38,9
26,40,656,53.0,100.0,47.0,106,116,66.5,67.5,1.0,40,116,53.5,75.5,22.0,2,7,1,24,53,30
27,0,206,13.0,86.0,73.0,0,28,13.0,31.0,18.0,0,6,13.0,30.5,17.5,3,11,1,5,50,42
28,100,100,68.5,68.5,0.0,100,100,49.0,49.0,0.0,100,100,68.5,68.5,0.0,1,12,7,14,21,3
29,24,640,48.5,100.0,51.5,38,38,65.5,65.5,0.0,24,38,49.5,67.0,17.5,2,3,3,92,54,19
30,16,118,37.5,75.0,37.5,62,62,43.5,43.5,0.0,16,18,37.5,40.5,3.0,4,7,2,24,94,55
31,54,156,60.0,90.0,30.0,48,48,71.5,71.5,0.0,48,48,74.0,74.0,0.0,4,3,7,96,62,42
32,22,1662,40.5,100.0,59.5,90,180,36.0,69.5,33.5,22,180,40.5,83.0,42.5,1,16,3,9,51,15
33,2,208,27.0,88.0,61.0,10,18,28.0,30.0,2.0,2,11,27.0,33.0,6.0,3,7,1,24,68,64
34,2,2,28.5,28.5,0.0,6,6,30.5,30.5,0.0,2,2,28.5,28.5,0.0,-1,3,1,81,4,79
35,0,206,13.0,90.0,77.0,0,18,13.0,30.0,17.0,0,6,13.0,31.5,18.5,3,7,0,43,99,71
36,108,108,77.5,77.5,0.0,80,80,69.0,69.0,0.0,80,80,70.0,70.0,0.0,-1,5,9,80,27,92
37,218,834,90.0,100.0,10.0,256,266,85.0,85.0,0.0,218,266,90.0,92.0,2.0,2,14,13,16,24,27
38,6,212,36.5,96.0,59.5,12,12,43.0,43.0,0.0,6,12,36.5,45.5,9.0,3,2,2,93,94,43
39,58,160,69.0,92.0,23.0,46,46,82.5,82.5,0.0,46,46,83.5,83.5,0.0,4,2,4,98,72,28
40,176,792,85.0,100.0,15.0,110,110,74.0,74.0,0.0,110,110,79.0,79.0,0.0,2,6,14,40,14,25
41,235,337,95.0,99.0,4.0,72,72,88.5,88.5,0.0,72,72,88.5,88.5,0.0,4,3,29,85,0,64
42,6,212,31.0,92.0,61.0,20,20,33.0,33.0,0.0,6,15,31.0,35.0,4.0,3,6,2,56,42,64
43,12,628,36.5,100.0,63.5,18,28,37.0,44.5,7.5,12,28,36.5,50.0,13.5,2,3,2,82,75,10
44,22,638,45.5,100.0,54.5,36,50,42.0,49.5,7.5,22,44,45.5,52.0,6.5,2,5,2,37,74,83
45,96,302,74.0,98.0,24.0,88,88,84.5,84.5,0.0,88,88,84.5,84.5,0.0,3,4,8,73,20,21
46,0,616,13.0,100.0,87.0,0,22,13.0,49.0,36.0,0,22,13.0,51.5,38.5,2,2,0,68,80,26
47,0,616,13.0,100.0,87.0,0,60,13.0,40.0,27.0,0,60,13.0,55.5,42.5,2,9,1,35,50,5
48,118,220,83.0,93.0,10.0,72,72,82.5,82.5,0.0,72,72,82.5,82.5,0.0,4,3,9,64,27,74
49,0,206,13.0,92.0,79.0,0,14,13.0,31.0,18.0,0,9,13.0,34.0,21.0,3,5,0,63,40,64
50,24,125,50.0,88.0,38.0,18,18,50.0,50.0,0.0,18,18,51.0,51.0,0.0,5,2,4,99,64,65
