,FreeNet_pre_score,FreeNet_post_score,FreeNet_pre_rank,FreeNet_post_rank,FreeNet_delta_ranks,Reversed_pre_score,Reversed_post_score,Reversed_pre_rank,Reversed_post_rank,Reversed_delta_ranks,Independent_pre_score,Independent_post_score,Independent_pre_rank,Independent_post_rank,Independent_delta_ranks,dist_victim_relayer,out_deg_victim,in_deg_villain,victim,villain,relayer
0,6,6,29.0,29.0,0.0,20,20,27.0,27.0,0.0,6,6,29.0,29.0,0.0,-1,14,1,8,68,99
1,18,634,42.0,100.0,58.0,36,40,38.5,41.5,3.0,18,40,42.0,49.5,7.5,2,5,3,52,51,25
2,0,206,12.5,92.0,79.5,0,10,12.5,32.5,20.0,0,8,12.5,37.5,25.0,3,3,0,76,86,74
3,49,49,53.0,53.0,0.0,122,122,63.5,63.5,0.0,49,49,53.0,53.0,0.0,-1,12,4,2,22,96
4,90,90,68.0,68.0,0.0,104,104,89.0,89.0,0.0,104,104,89.5,89.5,0.0,-1,5,6,49,77,86
5,91,193,72.0,92.0,20.0,48,48,66.5,66.5,0.0,48,48,69.0,69.0,0.0,4,3,13,58,33,53
6,100,100,80.5,80.5,0.0,100,100,97.5,97.5,0.0,100,100,97.5,97.5,0.0,-1,3,7,85,62,84
7,0,616,13.0,100.0,87.0,0,34,13.0,49.5,36.5,0,34,13.0,55.0,42.0,2,4,1,77,50,14
8,210,210,91.0,91.0,0.0,128,128,94.0,94.0,0.0,128,128,94.0,94.0,0.0,-1,5,15,80,16,79
9,100,100,70.5,70.5,0.0,100,100,56.0,56.0,0.0,100,100,70.5,70.5,0.0,-1,8,8,15,8,81
10,0,206,13.0,94.0,81.0,0,28,13.0,34.5,21.5,0,23,13.0,47.0,34.0,3,6,0,32,85,35
11,40,246,55.5,95.0,39.5,110,110,83.5,83.5,0.0,40,110,55.5,86.0,30.5,3,6,3,32,46,44
12,26,232,49.0,95.0,46.0,38,38,56.0,56.0,0.0,38,38,58.5,58.5,0.0,3,3,6,96,41,61
13,406,1022,97.5,100.0,2.5,256,256,96.5,96.5,0.0,256,256,96.5,96.5,0.0,2,10,29,18,0,25
14,250,456,93.0,100.0,7.0,152,152,97.0,97.0,0.0,152,152,97.0,97.0,0.0,3,5,19,88,15,33
15,0,0,12.5,12.5,0.0,0,0,12.5,12.5,0.0,0,0,12.5,12.5,0.0,-1,5,0,80,40,98
16,118,118,74.0,74.0,0.0,176,176,70.0,70.0,0.0,118,118,74.0,74.0,0.0,-1,11,9,5,39,89
