,FreeNet_pre_score,FreeNet_post_score,FreeNet_pre_rank,FreeNet_post_rank,FreeNet_delta_ranks,Reversed_pre_score,Reversed_post_score,Reversed_pre_rank,Reversed_post_rank,Reversed_delta_ranks,Independent_pre_score,Independent_post_score,Independent_pre_rank,Independent_post_rank,Independent_delta_ranks,Random_pre_score,Random_post_score,Random_pre_rank,Random_post_rank,Random_delta_ranks,dist_victim_relayer,dist_victim_vilain_pre,dist_victim_vilain_post,out_deg_victim,in_deg_villain,victim,villain,relayer
0,76,282,67,96,29,64,64,65,65,0,64,64,67,67,0,0.006977773239388679,0.01058579257292624,62,71,9,3,3,3,4,6,47,13,28
1,100,100,76,76,0,100,100,96,96,0,100,100,96,96,0,0.05589026175159127,0.056979475135300724,98,98,0,4,1,1,3,6,58,35,64
2,100,100,63,63,0,100,100,45,45,0,100,100,63,63,0,0.020456788862793153,0.022465026039007456,81,84,3,2,1,1,11,7,19,62,53
3,16,16,34,34,0,28,28,34,34,0,16,16,34,34,0,0.0006467204465774873,0.0006467204465774873,35,35,0,-1,3,3,5,1,50,88,45
4,100,100,59,59,0,100,100,39,39,0,100,100,59,59,0,0.014738418598318526,0.014738418598318526,76,76,0,-1,1,1,14,4,16,22,97
5,39,1679,54,100,46,76,100,54,70,16,39,100,54,74,20,0.0042547397801150485,0.03863303720344464,53,93,40,1,3,2,6,4,32,22,11
6,100,100,79,79,0,100,100,95,95,0,100,100,95,95,0,0.08958780081010245,0.09054086252084823,100,100,0,3,1,1,3,30,75,7,54
7,190,806,91,100,9,150,150,85,85,0,150,150,89,89,0,0.01501072194424589,0.030804316008032948,78,90,12,2,2,2,7,14,46,14,16
8,193,193,92,92,0,200,200,81,81,0,200,200,92,92,0,0.02236291228428469,0.02236291228428469,85,85,0,-1,2,2,11,16,19,18,97
9,186,786,92,100,8,104,104,86,86,0,104,104,87,87,0,0.024881718234112803,0.03359542530378842,88,92,4,2,2,2,5,17,49,6,20
10,16,222,34,90,56,112,112,59,59,0,16,64,34,55,21,0.0037441710065012424,0.009258313761530345,52,69,17,3,3,3,12,1,3,90,24
11,0,206,1,90,89,0,20,1,32,31,0,19,1,42,41,0.0,0.003369753905851118,1,48,47,3,-1,4,6,1,48,50,35
12,76,276,69,97,28,38,38,57,57,0,38,38,59,59,0,0.008101024541339052,0.011640968038394772,62,73,11,3,3,3,3,13,55,24,22
13,54,670,53,100,47,160,160,76,76,0,54,160,53,83,30,0.007284114503556962,0.024234997787535316,62,84,22,2,3,3,10,4,12,72,23
14,6,212,33,96,63,14,14,33,33,0,6,14,33,40,7,0.0006467204465774873,0.008305252050784574,36,66,30,3,4,4,3,2,75,42,14
15,76,76,62,62,0,64,64,59,59,0,64,64,63,63,0,0.00803294870485721,0.00803294870485721,66,66,0,-1,3,3,4,7,53,21,96
16,40,246,55,93,38,62,62,75,75,0,40,62,63,76,13,0.006943735321147759,0.013070560604513427,63,77,14,3,2,2,3,3,82,46,32
17,0,206,1,96,95,0,12,1,36,35,0,12,1,41,40,0.0,0.005922597773920147,1,61,60,3,-1,4,2,0,99,40,25
18,46,252,50,94,44,50,54,55,55,0,46,54,55,56,1,0.007216038667075122,0.02464345280642636,60,88,28,3,2,2,4,2,67,42,1
19,8,214,35,90,55,24,32,34,36,2,8,14,35,36,1,0.0002382654276864427,0.002314578440382586,34,47,13,3,4,4,6,2,74,63,90
20,120,736,81,100,19,118,118,91,91,0,118,118,91,91,0,0.01320671227747711,0.015725518227305217,75,78,3,2,2,2,5,7,80,48,43
21,6,6,32,32,0,8,8,32,32,0,6,6,32,32,0,0.0004084550188910446,0.0004084550188910446,35,35,0,-1,4,4,2,1,98,88,36
22,22,638,47,100,53,28,38,42,52,10,22,38,47,54,7,0.000442492937131965,0.010041185881071514,35,71,36,2,3,3,3,2,64,63,32
23,132,132,80,80,0,86,86,56,56,0,86,86,66,66,0,0.013887470642295518,0.013887470642295518,76,76,0,-1,3,3,6,13,59,33,86
24,16,222,37,90,53,30,34,35,35,0,16,24,37,44,7,0.0006467204465774873,0.0020763130126961434,36,43,7,3,3,3,6,1,48,88,51
25,40,40,47,47,0,64,64,40,40,0,40,40,47,47,0,0.004050512270669526,0.004050512270669526,49,49,0,-1,3,3,8,6,27,73,69
26,0,206,1,92,91,0,14,1,28,27,0,6,1,28,27,0.0,0.000442492937131965,1,33,32,3,-1,4,6,1,59,45,4
27,197,397,91,99,8,88,88,80,80,0,88,88,81,81,0,0.02631131080023146,0.03192756730998332,88,91,3,3,2,2,4,19,77,15,8
28,52,258,65,99,34,12,12,37,37,0,12,12,42,42,0,0.007794683277170768,0.010755982164130842,66,69,3,3,4,4,2,13,99,24,47
29,100,100,58,58,0,100,100,38,38,0,100,100,58,58,0,0.04435140746791926,0.04435140746791926,96,96,0,-1,1,1,16,27,9,10,97
30,0,206,1,93,92,0,20,1,34,33,0,20,1,47,46,0.0,0.00445896728956057,1,54,53,3,-1,4,4,0,73,80,28
31,218,320,97,100,3,48,48,70,70,0,48,48,72,72,0,0.02923857176895061,0.03134892269988768,93,94,1,4,3,3,3,29,94,1,75
32,40,656,49,100,51,156,156,68,68,0,40,156,49,86,37,0.002825147213996392,0.024269035705776234,48,88,40,2,2,2,12,1,14,53,10
33,6,622,32,100,68,22,36,33,41,8,6,35,32,49,17,0.0010892133837094523,0.006501242384015794,39,56,17,2,4,3,5,1,45,71,22
34,222,838,89,100,11,294,314,86,88,2,222,288,89,96,7,0.009973110044589673,0.01841451376833793,66,82,16,2,2,2,17,13,20,24,77
35,140,140,84,84,0,198,198,86,86,0,140,140,84,84,0,0.01330882603219987,0.01330882603219987,75,75,0,-1,2,2,10,8,1,17,69
36,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,2,1,89,45,99
37,207,207,93,93,0,152,152,95,95,0,152,152,95,95,0,0.028455699649409444,0.028455699649409444,90,90,0,-1,2,2,5,20,63,23,69
38,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,8,0,10,76,89
39,100,100,64,64,0,100,100,57,57,0,100,100,66,66,0,0.05323530412879948,0.05323530412879948,97,97,0,-1,1,1,7,22,46,9,81
40,100,100,62,62,0,100,100,48,48,0,100,100,62,62,0,0.03230198441063344,0.06150651826134314,89,100,11,1,1,1,10,15,11,19,0
41,100,100,69,69,0,100,100,69,69,0,100,100,71,71,0,0.07331767589094251,0.08380135470914599,99,100,1,2,1,1,6,40,34,3,77
42,0,616,1,100,99,0,66,1,46,45,0,66,1,54,53,0.0,0.0300554818067327,1,93,92,2,-1,3,6,0,71,82,2
43,0,616,1,100,99,0,90,1,40,39,0,90,1,60,59,0.0,0.01405766023350012,1,72,71,2,-1,3,12,0,2,93,12
44,1,617,25,100,75,3,28,25,43,18,1,28,25,53,28,0.0,0.011334626774226489,1,73,72,2,6,3,3,2,76,58,8
45,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,6,0,74,80,85
46,73,173,64,91,27,54,54,54,54,0,54,54,58,58,0,0.006773545729943157,0.007420266176520644,60,62,2,4,3,3,4,8,47,57,74
47,7,7,38,38,0,8,8,33,33,0,7,7,38,38,0,0.0002723033459273631,0.0002723033459273631,34,34,0,-1,4,4,2,2,86,56,92
48,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,9,0,26,92,69
49,33,649,57,100,43,22,22,52,52,0,22,22,54,54,0,0.005105687736138058,0.02226079852956193,60,86,26,2,3,3,2,6,86,35,18
50,70,70,65,65,0,38,38,46,46,0,38,38,51,51,0,0.010347527145239796,0.010347527145239796,74,74,0,-1,3,3,3,9,96,27,86
51,137,137,88,88,0,48,48,54,54,0,48,48,56,56,0,0.020967357636406957,0.020967357636406957,86,86,0,-1,3,3,3,16,87,18,93
52,0,206,1,92,91,0,42,1,36,35,0,36,1,46,45,0.0,0.006739507811702236,1,57,56,3,-1,4,7,0,46,96,77
53,6,622,28,100,72,15,38,28,35,7,6,38,28,46,18,0.0002042275094455223,0.006943735321147759,29,58,29,2,4,3,6,1,56,4,44
54,4,210,31,94,63,6,18,30,37,7,4,18,31,46,15,0.0004084550188910446,0.008169100377820893,36,67,31,3,5,4,3,2,81,63,77
55,6,6,32,32,0,10,10,32,32,0,6,6,32,32,0,0.00030634126416828345,0.00030634126416828345,33,33,0,-1,4,4,3,1,64,65,69
56,12,628,37,100,63,14,38,33,46,13,12,38,37,52,15,0.0005786446100956465,0.01678069369277375,35,82,47,2,4,3,3,2,75,63,5
57,44,44,56,56,0,96,96,60,60,0,44,44,56,56,0,0.006773545729943157,0.006773545729943157,61,61,0,-1,3,3,6,7,44,62,82
58,0,102,1,82,81,0,4,1,29,28,0,4,1,31,30,0.0,0.00034037918240920387,1,33,32,4,-1,5,2,1,68,45,63
59,0,616,1,100,99,0,22,1,51,50,0,22,1,53,52,0.0,0.010721944245889922,1,69,68,2,-1,3,2,1,86,45,25
60,12,113,35,82,47,18,18,35,35,0,12,13,35,38,3,0.0014295925661186562,0.0014295925661186562,39,39,0,5,4,4,3,2,94,61,95
61,128,128,79,79,0,290,290,83,83,0,128,128,79,79,0,0.008713707069675619,0.008713707069675619,60,60,0,-1,2,2,17,6,20,26,69
62,0,102,1,73,72,0,15,1,27,26,0,2,1,25,24,0.0,0.00010211375472276115,1,29,28,4,-1,5,12,0,6,79,60
63,0,206,1,89,88,0,38,1,31,30,0,38,1,45,44,0.0,0.005377991082065421,1,54,53,3,-1,4,9,1,29,69,44
64,16,222,43,94,51,54,54,62,62,0,16,54,43,67,24,0.005446066918547262,0.014398039415909322,59,78,19,3,3,3,4,1,72,90,19
65,68,1708,64,100,36,72,96,79,89,10,72,96,80,89,9,0.009564655025698629,0.06225535246264338,70,97,27,1,2,2,3,4,75,72,10
66,202,1842,92,100,8,158,192,82,92,10,158,192,87,93,6,0.020150447598624867,0.0402328193607679,83,96,13,1,2,2,9,18,35,5,77
67,160,366,86,96,10,302,302,88,88,0,160,172,86,87,1,0.010687906327649,0.012525953912658701,68,72,4,3,2,2,16,4,4,38,52
68,40,142,48,84,36,102,102,57,57,0,40,42,48,52,4,0.003914360597705844,0.004050512270669526,53,54,1,4,3,3,12,6,6,73,4
69,297,297,99,99,0,72,72,84,84,0,72,72,84,84,0,0.044623710813846626,0.044623710813846626,96,96,0,-1,2,2,3,40,85,3,81
70,218,319,90,94,4,144,144,92,92,0,144,144,92,92,0,0.02382654276864427,0.02382654276864427,85,85,0,5,2,2,6,17,41,6,58
71,0,616,1,100,99,0,78,1,46,45,0,78,1,62,61,0.0,0.01855066544130161,1,81,80,2,-1,3,8,0,57,93,16
72,334,436,100,100,0,80,80,96,96,0,80,80,96,96,0,0.05745600599067361,0.05926001565744239,98,98,0,4,2,2,2,36,86,2,90
73,32,238,44,88,44,108,108,58,58,0,32,38,44,45,1,0.003267640151128357,0.0035739814152966403,51,51,0,3,3,3,12,2,2,75,55
74,188,394,86,99,13,230,230,73,73,0,188,194,86,87,1,0.012594029749140543,0.012662105585622384,70,70,0,3,2,2,16,14,9,32,95
75,2,2,27,27,0,12,12,29,29,0,2,2,27,27,0,0.00010211375472276115,0.00010211375472276115,30,30,0,-1,5,5,6,1,48,65,93
76,12,218,42,97,55,12,12,37,37,0,12,12,41,41,0,0.0020422750944552232,0.005071649817897137,44,58,14,3,4,4,2,2,89,83,26
77,202,818,92,100,8,136,136,98,98,0,136,136,98,98,0,0.0283876238129276,0.03563770039824364,89,93,4,2,2,2,4,18,47,30,24
78,100,100,64,64,0,100,100,57,57,0,100,100,65,65,0,0.032880629020729094,0.032880629020729094,90,90,0,-1,1,1,8,8,10,20,66
79,56,262,65,99,34,22,22,49,49,0,22,22,50,50,0,0.006501242384015794,0.010347527145239796,61,69,8,3,3,3,2,6,93,13,28
80,132,338,84,96,12,88,88,77,77,0,88,88,77,77,0,0.017087034956942034,0.01858470335954253,82,84,2,3,2,2,4,8,79,8,52
81,342,342,98,98,0,224,224,96,96,0,224,224,96,96,0,0.03533135913407536,0.03533135913407536,92,92,0,-1,2,2,8,29,30,0,93
82,16,16,47,47,0,22,22,49,49,0,16,16,48,48,0,0.002382654276864427,0.002382654276864427,47,47,0,-1,3,3,2,1,93,53,69
83,84,84,62,62,0,80,80,59,59,0,80,80,63,63,0,0.012934408931549747,0.012934408931549747,75,75,0,-1,3,3,5,9,61,39,99
84,56,56,53,53,0,154,154,67,67,0,56,56,53,53,0,0.004731270635487933,0.004731270635487933,55,55,0,-1,2,2,10,3,18,29,92
85,96,1736,67,100,33,56,90,44,65,21,56,90,52,68,16,0.009258313761530345,0.02743456210218183,66,90,24,1,3,2,6,13,56,24,95
86,62,678,57,100,43,104,118,60,63,3,62,118,57,78,21,0.002212464685659825,0.011198475101262807,44,70,26,2,2,2,9,4,54,64,14
