,FreeNet_pre_score,FreeNet_post_score,FreeNet_pre_rank,FreeNet_post_rank,FreeNet_delta_ranks,Reversed_pre_score,Reversed_post_score,Reversed_pre_rank,Reversed_post_rank,Reversed_delta_ranks,Independent_pre_score,Independent_post_score,Independent_pre_rank,Independent_post_rank,Independent_delta_ranks,Random_pre_score,Random_post_score,Random_pre_rank,Random_post_rank,Random_delta_ranks,dist_victim_relayer,out_deg_victim,in_deg_villain,victim,villain,relayer
0,94,94,70.0,70.0,0.0,88,88,78.5,78.5,0.0,88,88,78.5,78.5,0.0,0.007556417849484326,0.007556417849484326,65.0,65.0,0.0,-1,4,6,53,26,97
1,6,622,29.0,100.0,71.0,36,66,34.0,45.5,11.5,6,66,29.0,55.0,26.0,0.00017018959120460194,0.02018448551686579,30.0,83.0,53.0,2,6,1,40,49,9
2,0,616,13.0,100.0,87.0,0,58,13.0,39.0,26.0,0,58,13.0,52.0,39.0,0.0,0.009190237925048503,14.5,67.0,52.5,2,8,0,42,82,32
3,50,256,63.5,99.0,35.5,22,22,62.0,62.0,0.0,22,22,62.0,62.0,0.0,0.00442492937131965,0.007998910786616291,52.0,66.0,14.0,3,2,5,99,47,35
4,0,616,13.0,100.0,87.0,0,64,13.0,45.0,32.0,0,52,13.0,55.0,42.0,0.0,0.00891793457912114,13.0,65.0,52.0,2,8,0,21,66,77
5,100,100,66.0,66.0,0.0,100,100,46.0,46.0,0.0,100,100,66.0,66.0,0.0,0.05834099186493754,0.06484223424895333,99.0,100.0,1.0,2,16,40,9,3,19
6,53,155,63.0,89.0,26.0,38,38,58.0,58.0,0.0,38,38,60.0,60.0,0.0,0.0068075836481840775,0.00704584907587052,64.0,64.0,0.0,4,3,8,66,57,49
7,40,40,55.5,55.5,0.0,62,62,78.0,78.0,0.0,40,40,66.5,66.5,0.0,0.008135062459579971,0.008135062459579971,67.0,67.0,0.0,-1,3,3,66,46,97
8,76,178,67.5,91.0,23.5,64,64,67.5,67.5,0.0,64,64,69.5,69.5,0.0,0.006977773239388679,0.007250076585316042,62.0,62.0,0.0,4,4,6,47,13,4
9,0,206,13.0,89.0,76.0,0,30,13.0,36.0,23.0,0,30,13.0,51.0,38.0,0.0,0.009530617107457708,13.0,69.0,56.0,3,5,0,61,97,39
10,0,206,13.0,92.0,79.0,0,36,13.0,36.0,23.0,0,36,13.0,50.0,37.0,0.0,0.008986010415602982,13.5,66.5,53.0,3,6,0,65,40,14
11,235,441,94.0,100.0,6.0,112,112,95.0,95.0,0.0,112,112,95.0,95.0,0.0,0.028864154668300487,0.03577385207120733,90.0,92.0,2.0,3,4,15,47,16,17
12,0,206,12.5,96.0,83.5,0,12,12.5,41.0,28.5,0,12,12.5,43.5,31.0,0.0,0.01334286395044079,14.0,74.0,60.0,3,2,0,99,92,15
13,16,222,44.5,97.0,52.5,28,28,53.0,53.0,0.0,16,28,44.5,56.5,12.0,0.003165526396405596,0.005820484019197386,49.0,59.5,10.5,3,3,3,81,46,73
