,FreeNet_pre_score,FreeNet_post_score,FreeNet_pre_rank,FreeNet_post_rank,FreeNet_delta_ranks,Reversed_pre_score,Reversed_post_score,Reversed_pre_rank,Reversed_post_rank,Reversed_delta_ranks,Random_pre_score,Random_post_score,Random_pre_rank,Random_post_rank,Random_delta_ranks,dist_victim_relayer,dist_victim_vilain_pre,dist_victim_vilain_post,out_deg_victim,in_deg_villain,victim,villain,relayer
0,2,208,27,92,65,6,14,30,33,3,0.0,0.005446066918547262,1,56,55,[[3]],[[5]],[[4]],3,1,64,95,31
1,0,1640,1,100,99,6,80,1,64,63,0.0,0.042853739065318766,1,97,96,[[1]],[[inf]],[[2]],6,0,69,36,3
2,56,672,55,100,45,76,76,52,52,0,0.005786446100956465,0.02277136730317574,57,85,28,[[2]],[[3]],[[3]],6,6,65,35,9
3,44,145,64,93,29,12,12,39,39,0,0.010994247591817285,0.010994247591817285,70,70,0,[[inf]],[[4]],[[4]],2,8,97,8,40
4,234,336,91,94,3,160,160,86,86,0,0.024983831988835564,0.025051907825317403,86,86,0,[[4]],[[2]],[[2]],7,15,24,16,60
5,22,123,40,76,36,48,48,38,38,0,0.002825147213996392,0.002825147213996392,47,47,0,[[inf]],[[3]],[[3]],7,2,46,83,85
6,140,1780,87,100,13,64,88,70,79,9,0.022567139793730217,0.04734674427312026,83,96,13,[[1]],[[3]],[[2]],4,20,84,23,70
7,177,278,91,98,7,136,136,97,97,0,0.02631131080023146,0.02644746247319514,87,87,0,[[5]],[[2]],[[2]],4,9,72,39,95
8,93,709,76,100,24,28,28,44,44,0,0.013887470642295518,0.026719765819122502,76,88,12,[[2]],[[3]],[[3]],3,16,92,12,19
9,6,622,29,100,71,19,54,29,34,5,0.0002723033459273631,0.006671431975220395,34,58,24,[[2]],[[4]],[[3]],8,1,42,55,31
10,16,117,34,76,42,40,40,32,32,0,0.000442492937131965,0.000442492937131965,35,35,0,[[inf]],[[3]],[[3]],12,1,2,60,59
11,0,616,1,100,99,9,39,1,31,30,0.0,0.004288777698355968,1,51,50,[[2]],[[inf]],[[3]],9,0,29,85,75
12,1,207,23,93,70,5,30,1,40,39,0.0,0.005071649817897137,1,54,53,[[3]],[[6]],[[4]],5,1,45,78,38
13,16,222,35,90,55,80,80,41,41,0,0.001157289220191293,0.004152626025392287,41,52,11,[[3]],[[3]],[[3]],10,1,18,71,75
14,0,101,1,78,77,3,3,1,1,0,0.0,0.0,1,1,0,[[inf]],[[inf]],[[inf]],3,0,58,36,81
15,200,406,91,97,6,268,268,82,82,0,0.013921508560536438,0.014704380680077607,77,78,1,[[3]],[[2]],[[2]],16,8,4,8,51
16,12,218,37,94,57,28,28,34,34,0,0.0012253650566731338,0.0038462847612240037,39,51,12,[[3]],[[4]],[[4]],6,2,32,74,29
17,61,677,61,100,39,54,64,55,67,12,0.005582218591510943,0.017903944994724124,58,81,23,[[2]],[[3]],[[3]],4,6,73,28,25
18,22,1662,41,100,59,80,138,43,77,34,0.002110350930937064,0.03424214575036591,44,92,48,[[1]],[[3]],[[2]],9,2,23,61,10
19,16,117,35,77,42,38,38,34,34,0,0.00034037918240920387,0.00034037918240920387,34,34,0,[[inf]],[[3]],[[3]],8,1,15,88,89
20,163,369,92,100,8,56,56,85,85,0,0.028728002995336805,0.031076619353960312,89,91,2,[[3]],[[2]],[[2]],2,16,90,12,94
21,2,618,26,100,74,10,94,26,47,21,3.4037918240920386e-05,0.015419176963136935,28,78,50,[[2]],[[5]],[[3]],9,1,28,68,15
22,91,192,57,86,29,214,214,74,74,0,0.007828721195411689,0.007828721195411689,60,60,0,[[inf]],[[2]],[[2]],15,7,7,62,96
23,62,163,66,92,26,38,38,51,51,0,0.00789679703189353,0.00789679703189353,64,64,0,[[inf]],[[3]],[[3]],3,9,94,31,87
24,149,1789,88,100,12,88,112,76,92,16,0.02215868477483917,0.06681643350692672,86,98,12,[[1]],[[2]],[[2]],4,17,47,6,1
25,258,874,94,100,6,296,296,92,92,0,0.021784267674189048,0.026923993328568024,83,90,7,[[2]],[[2]],[[2]],14,16,8,18,26
26,100,100,67,67,0,100,100,54,54,0,0.06719085060757685,0.06855236733721366,100,100,0,[[3]],[[1]],[[1]],9,36,35,2,54
27,0,616,1,100,99,16,108,1,56,55,0.0,0.007828721195411689,1,56,55,[[2]],[[inf]],[[3]],16,0,9,87,25
28,0,616,1,100,99,15,110,1,57,56,0.0,0.013819394805813677,1,74,73,[[2]],[[inf]],[[3]],15,0,7,36,30
29,0,206,1,97,96,2,12,1,38,37,0.0,0.019946220089179345,1,83,82,[[3]],[[inf]],[[4]],2,0,97,79,11
30,2,104,27,83,56,2,4,1,29,28,3.4037918240920386e-05,0.0007828721195411688,26,37,11,[[4]],[[6]],[[5]],2,2,89,58,71
31,0,206,1,89,88,6,24,1,30,29,0.0,0.0026889955410327104,1,39,38,[[3]],[[inf]],[[4]],6,0,71,85,29
32,0,206,1,89,88,12,48,1,33,32,0.0,0.0024166921951053475,1,45,44,[[3]],[[inf]],[[4]],12,0,14,86,41
33,8,624,32,100,68,28,42,32,35,3,0.000442492937131965,0.007113924912352361,33,58,25,[[2]],[[4]],[[3]],6,2,40,63,44
34,210,826,92,100,8,308,318,89,90,1,0.017018959120460194,0.0352292453793526,79,93,14,[[2]],[[2]],[[2]],16,12,4,37,16
35,0,616,1,100,99,4,30,1,43,42,0.0,0.007284114503556962,1,63,62,[[2]],[[inf]],[[3]],4,0,84,66,21
36,259,360,94,96,2,176,176,85,85,0,0.021375812655298,0.021375812655298,85,85,0,[[inf]],[[2]],[[2]],8,16,42,12,80
