,FreeNet_pre_score,FreeNet_post_score,FreeNet_pre_rank,FreeNet_post_rank,FreeNet_delta_ranks,Reversed_pre_score,Reversed_post_score,Reversed_pre_rank,Reversed_post_rank,Reversed_delta_ranks,Random_pre_score,Random_post_score,Random_pre_rank,Random_post_rank,Random_delta_ranks,dist_victim_relayer,dist_victim_vilain_pre,dist_victim_vilain_post,out_deg_victim,in_deg_villain,victim,villain,relayer
0,13,114,646,950,304,4,4,421,421,0,0.00030634126416828345,0.00030634126416828345,637,637,0,[[inf]],[[5]],[[5]],2,7,919,176,685
1,30,131,789,950,161,28,28,809,809,0,0.0007488342013002485,0.0007488342013002485,781,781,0,[[5]],[[3]],[[3]],3,4,863,267,764
2,6,108,441,926,485,12,12,486,486,0,0.00010211375472276115,0.00034037918240920387,486,646,160,[[4]],[[4]],[[4]],4,1,740,370,212
3,1,103,276,883,607,8,13,1,380,379,0.0,0.0002042275094455223,1,563,562,[[4]],[[inf]],[[5]],8,1,218,472,350
4,0,102,1,892,891,7,13,1,398,397,0.0,0.00017018959120460194,1,535,534,[[4]],[[inf]],[[5]],7,0,340,927,93
5,18,224,697,977,280,12,12,615,615,0,0.0006126825283365669,0.0017359338302869397,752,878,126,[[3]],[[4]],[[4]],2,6,983,494,137
6,0,101,1,884,883,7,7,1,1,0,0.0,0.0,1,1,0,[[inf]],[[inf]],[[inf]],7,0,591,966,789
7,3,104,422,956,534,2,2,1,1,0,0.0,0.0,1,1,0,[[7]],[[7]],[[7]],2,3,666,181,656
8,6,212,414,960,546,18,29,425,509,84,3.4037918240920386e-05,0.0006807583648184077,394,743,349,[[3]],[[4]],[[4]],9,1,395,837,131
9,38,139,766,929,163,52,52,760,760,0,0.000442492937131965,0.000442492937131965,693,693,0,[[inf]],[[3]],[[3]],7,9,362,212,955
10,82,183,813,925,112,252,252,877,877,0,0.0012934408931549745,0.0012934408931549745,831,831,0,[[inf]],[[2]],[[2]],23,4,4,143,939
11,45,146,793,935,142,52,52,740,740,0,0.001157289220191293,0.001157289220191293,824,824,0,[[7]],[[3]],[[3]],8,5,309,308,765
12,0,206,1,965,964,4,11,1,449,448,0.0,0.0002723033459273631,1,620,619,[[3]],[[inf]],[[4]],4,0,949,832,395
13,480,582,993,995,2,48,48,906,906,0,0.009734844616903231,0.009734844616903231,984,984,0,[[4]],[[3]],[[3]],3,92,892,30,225
14,1,102,275,942,667,2,2,1,1,0,0.0,0.0002042275094455223,1,564,563,[[5]],[[inf]],[[6]],2,1,979,947,613
15,0,616,1,994,993,7,27,1,556,555,0.0,0.0009190237925048504,1,784,783,[[2]],[[inf]],[[3]],7,0,505,611,658
16,1,103,276,876,600,13,17,1,368,367,0.0,0.00017018959120460194,1,542,541,[[4]],[[inf]],[[5]],13,1,90,660,840
17,16,632,594,994,400,56,56,801,801,0,0.0009870996289866913,0.0025188059498281084,805,908,103,[[2]],[[3]],[[3]],6,1,518,612,299
18,48,149,767,921,154,90,90,783,783,0,0.00088498587426393,0.0009190237925048504,785,794,9,[[5]],[[2]],[[2]],10,4,206,551,935
19,34,135,726,919,193,84,84,793,793,0,0.0004765308553728854,0.0004765308553728854,701,701,0,[[inf]],[[3]],[[3]],9,9,136,293,864
20,8,110,486,890,404,26,26,457,457,0,3.4037918240920386e-05,3.4037918240920386e-05,407,407,0,[[4]],[[4]],[[4]],9,3,192,373,313
21,42,248,752,964,212,110,110,851,851,0,0.00088498587426393,0.0014295925661186562,787,844,57,[[3]],[[3]],[[3]],10,6,240,234,312
22,11,217,604,976,372,12,12,599,599,0,0.0002042275094455223,0.00037441710065012424,576,669,93,[[3]],[[4]],[[4]],2,5,926,710,470
23,16,222,515,946,431,88,88,639,639,0,0.00013615167296368154,0.00030634126416828345,505,611,106,[[3]],[[3]],[[3]],16,1,134,689,107
24,8,110,508,918,410,15,18,452,488,36,0.0002042275094455223,0.0005446066918547262,573,723,150,[[4]],[[4]],[[4]],7,2,404,430,375
25,161,777,942,997,55,100,100,948,948,0,0.0038462847612240037,0.004595118962524252,945,952,7,[[2]],[[2]],[[2]],6,23,560,122,280
26,0,102,1,935,934,3,4,1,373,372,0.0,0.0002042275094455223,1,576,575,[[4]],[[inf]],[[5]],3,0,523,611,317
27,0,101,1,873,872,16,16,1,1,0,0.0,0.0,1,1,0,[[inf]],[[inf]],[[inf]],16,0,72,729,901
28,19,120,664,931,267,28,28,737,737,0,0.0002382654276864427,0.0002382654276864427,586,586,0,[[inf]],[[3]],[[3]],3,3,808,222,542
29,2,104,360,961,601,3,3,413,413,0,3.4037918240920386e-05,0.0004084550188910446,417,695,278,[[4]],[[5]],[[5]],2,1,987,879,438
30,0,101,1,968,967,2,2,1,1,0,0.0,6.807583648184077e-05,1,445,444,[[5]],[[inf]],[[6]],2,0,813,587,270
31,28,129,713,926,213,42,42,698,698,0,0.0005786446100956465,0.0005786446100956465,729,729,0,[[inf]],[[3]],[[3]],6,3,98,382,851
32,0,206,1,959,958,6,16,1,442,441,0.0,0.001055175465468532,1,808,807,[[3]],[[inf]],[[4]],6,0,255,997,62
33,16,222,592,968,376,16,24,496,608,112,0.00013615167296368154,0.003437829742332959,513,933,420,[[3]],[[4]],[[4]],4,6,509,392,8
34,3,105,371,905,534,9,10,390,400,10,0.0,0.0002723033459273631,1,619,618,[[4]],[[5]],[[5]],5,2,347,364,291
