,FreeNet_pre_score,FreeNet_post_score,FreeNet_pre_rank,FreeNet_post_rank,FreeNet_delta_ranks,Reversed_pre_score,Reversed_post_score,Reversed_pre_rank,Reversed_post_rank,Reversed_delta_ranks,Random_pre_score,Random_post_score,Random_pre_rank,Random_post_rank,Random_delta_ranks,dist_victim_relayer,dist_victim_vilain_pre,dist_victim_vilain_post,out_deg_victim,in_deg_villain,victim,villain,relayer
0,5160,6760,623,759,136,5624,5624,608,608,0,0.0008169100377820892,0.001497668402600497,419,706,287,1,2,2,254,225,891,90,550
1,8160,8776,831,851,20,12480,12480,829,829,0,0.0010211375472276116,0.0012594029749140542,491,621,130,2,2,2,537,267,303,808,420
2,3288,3904,389,469,80,4264,4264,425,425,0,0.000442492937131965,0.0004765308553728854,179,206,27,2,2,2,205,144,863,74,796
3,100,100,3,3,0,100,100,1,1,0,0.0030634126416828346,0.0033016780693692774,863,876,13,2,1,1,246,698,343,41,531
4,6200,6816,705,745,40,5256,5256,645,645,0,0.001157289220191293,0.0014295925661186562,560,651,91,2,2,2,222,281,55,190,627
5,100,100,3,3,0,100,100,1,1,0,0.002212464685659825,0.0024166921951053475,799,818,19,2,1,1,182,394,198,733,490
6,100,100,3,3,0,100,100,1,1,0,0.0006126825283365669,0.0007828721195411688,227,343,116,1,1,1,540,149,290,657,679
7,100,100,2,2,0,100,100,1,1,0,0.0007828721195411688,0.0009530617107457708,326,445,119,1,1,1,854,240,98,159,596
8,8160,9760,785,833,48,6512,6512,824,824,0,0.0011913271384322134,0.0013274788113958951,579,620,41,1,2,2,230,333,667,101,156
9,100,100,3,3,0,100,100,1,1,0,0.0037441710065012424,0.003812246842983083,886,886,0,2,1,1,146,731,702,61,824
10,7760,8376,808,830,22,2128,2128,797,797,0,0.0015657442390823377,0.0020763130126961434,730,789,59,2,2,2,73,425,825,200,129
11,3520,4136,388,460,72,4112,4112,348,348,0,0.0007828721195411688,0.001055175465468532,397,526,129,2,2,2,203,166,107,532,320
12,4984,5584,636,694,58,1352,1352,577,577,0,0.001055175465468532,0.0012253650566731338,607,659,52,2,2,2,62,289,526,731,124
13,3216,3832,348,474,126,1344,1344,310,310,0,0.0006467204465774873,0.0007488342013002485,349,422,73,2,2,2,69,186,329,348,297
14,658,1274,169,197,28,2372,2372,171,171,0,6.807583648184077e-05,0.00030634126416828345,18,90,72,2,2,2,146,37,702,862,21
15,6384,6984,777,816,39,4048,4048,795,795,0,0.0011232513019503727,0.0012934408931549745,615,672,57,2,2,2,163,309,816,670,367
16,100,100,3,3,0,100,100,1,1,0,0.0014636304843595766,0.0019061234214915416,688,762,74,2,1,1,204,332,657,496,734
